feature,Gain,IncNodePurity,High,Low
trend.Reebok_a_3,0.002362785,71828.51724,1,0
subCategoryXsize4_freq,0.006102663,72211.12842,1,0
trend.Converse_b1,0.004487046,72764.36872,1,0
subCategoryXrelweekday_freq,0.002146476,72964.47598,1,0
trend.asics_a_4,0.000958588,73011.82666,1,0
color.richXsubCategory_freq,0.002385118,73040.50478,1,0
colorXsize2_freq,0.0072099,74400.07239,1,0
subCategoryXsize2_freq,0.006508396,74458.31968,1,0
brand.nationXsubCategory_freq,0.003803837,74937.88938,1,0
trend.Nike_a_4,0.001045625,74944.12,1,0
trend.adidas_a_2,0.001773915,74989.44941,1,0
trend.KangaROOS_a_4,0.001743642,75146.52265,1,0
subCategoryXsize1_freq,0.012176079,75238.19954,1,0
subCategoryXsize3_freq,0.003140742,75747.16598,1,0
colorXsize4_freq,0.007795922,75917.44843,1,0
subCategoryXsize.child.cloth_freq,0.002227691,76474.11363,1,0
colorXsize1_freq,0.013954813,76897.32,1,0
brand.popularityXsubCategory_freq,0.001529476,76919.12691,1,0
subCategoryXrelmonthweek_freq,0.000218441,76946.85079,1,0
trend.11teamsports_b1,0.027068068,77057.34703,1,0
trend.Jako_a_2,0.001836509,77922.62831,1,0
trend.Converse_a_4,0.001306587,78008.36885,1,0
trend.11teamsports_a_4,0.002870204,78058.05577,1,0
trend.Reebok_b1,0.002951974,78302.85708,1,0
brand.groupXsubCategory_freq,0.000926721,78464.29775,1,0
trend.PUMA_a_3,0.001681979,78653.06808,1,0
trend.KangaROOS_a_3,0.001956035,79194.82011,1,0
trend.coupon_b1,0.005333688,79922.55476,1,0
trend.Jako_a_3,0.001460975,79932.92205,1,0
trend.PUMA_a_2,0.001193295,80401.05042,1,0
trend.Jordan_b1,0.003211279,80440.78115,1,0
trend.bonton_a_1,0.001841211,80772.3892,1,0
brandXsubCategory_freq,0.005537131,80856.92633,1,0
trend.Reebok_a_2,0.00196306,81995.31325,1,0
trend.coupon_a_2,0.001717857,82090.8182,1,0
trend.Nike_b1,0.002089269,82550.49521,1,0
trend.KangaROOS_b1,0.004928766,84299.56803,1,0
trend.PUMA_b1,0.002058143,84985.094,1,0
colorXsubCategory_freq,0.011834657,85013.07604,1,0
trend.Amazon_a_1,0.001339708,85804.47388,1,0
trend.Jordan_a_4,0.001945624,86133.59985,1,0
trend.Jako_a_1,0.00212378,86226.4466,1,0
trend.adidas_a_1,0.001557725,86412.9562,1,0
trend.Jako_a_4,0.001713772,86937.45108,1,0
trend.Uhlsport_a_1,0.002765897,87073.1231,1,0
trend.PUMA_a_4,0.000837693,88275.9177,1,0
trend.KangaROOS_a_2,0.002772507,88535.16865,1,0
trend.Jako_b1,0.005196464,91693.62599,1,0
trend.UnderArmour_a_1,0.002035549,92346.46327,1,0
trend.coupon_a_4,0.001540906,92776.82974,1,0
trend.Nike_a_1,0.001385636,93140.95879,1,0
trend.Nike_a_3,0.001439973,93668.25944,1,0
trend.asics_a_3,0.001271745,94241.5365,1,0
trend.11teamsports_a_1,0.004559571,94260.16484,1,0
trend.Amazon_a_2,0.001413702,97312.66586,1,0
trend.UnderArmour_a_4,0.001598357,98154.70949,1,0
trend.UnderArmour_a_2,0.002181022,99293.37467,1,0
stock,0.020164931,99866.23479,1,0
stock.units.cutCut8,0.002886071,99935.44206,1,0
trend.Uhlsport_a_3,0.001583783,100109.5071,1,0
trend.bonton_b1,0.006026576,101851.2569,1,0
trend.Amazon_a_4,0.00251735,103812.9599,1,0
trend.UnderArmour_a_3,0.001537451,104083.672,1,0
trend.Converse_a_2,0.001608112,104560.8431,1,0
